intestinal obstruction,ileum
abdominal pain,abdomen
small bowel obstruction,ileum
inflammatory changes,appendix
appendicitis,appendix
trapping,ileal mesentery
fecal stones,appendix
blurred vision,eyes
loss of consciousness,unspecified
seizures,unspecified
l,unspecified
metabolic acidosis,body
convulsions,brain
conscious,brain
alert,brain
hypofluorescence,retina
subretinal fluid,eyes
foveal,retina
ptosis,unspecified
blurred vision,unspecified
headache fever weight loss,unspecified
sweating,unspecified
palsy,third cranial nerve
binocular diplopia,unspecified
mass lesion,cavernous sinus
destruction,skull bone
hyperostosis,skull bone
gait imbalance,unspecified
difficulty with speech,unspecified
tremor,left upper limb
vomiting,unspecified
general fatigue,unspecified
weight loss,body
symptoms,unspecified
neurological,unspecified
mass,cerebellopontine angle
difficulty in walking,unspecified
posterior thigh muscle atrophy,thigh
weakness,shoulder
arm flexion,arm
abduction,arm
cranial nerve involvement,brain
joint contractures,unspecified
skeletal deformities,unspecified
waddling gait,unspecified
myopathic findings,muscle
fibrillation,muscle
sharp waves,muscle
fatty changes,quadriceps
symptoms,unspecified
fibre size variability,muscle
central nuclei,muscle
scattered degenerative fibres,muscle
point mutation,unspecified
waddling gait,unspecified
tongue weakness,tongue
eyelid ptosis,eyelid
ophthalmoparesis,eye
bilateral elbow joint laxity,elbow
left achilles tendon retraction,Achilles
upward movement of the umbilicus,abdomen
weakness of neck extensors,neck
flexion,neck
abduction,arm
ability,unspecified
substitution,thigh
left nasal obstruction,nose
epistaxis,nose
hypertension hyperlipidemia,unspecified
left nasal mass,nose
thinning,nose
mass,nose
quadrant rlq abdominal pain,abdomen
rlq mass,abdomen
mass,abdomen
diverticulosis,colon
tumor activity,abdomen
inflammatory cells,abdomen
inflammation,pericolic fat
symptom,right frontal lobe mass
organ,frontal
symptom,right frontal
organ,frontal
symptom,resection
organ,unspecified
abdominal symptoms,unspecified
articular manifestations,unspecified
renal involvement,unspecified
erythema nodosum,skin
fever vomiting diarrhea,gastrointestinal
epigastric pain,abdomen
abdominal pain,abdomen
hepatomegaly,liver
splenomegaly,spleen
skin rash,skin
gastrointestinal symptoms,gastrointestinal
petechiae,skin
febrile,unspecified
vomiting,gastrointestinal
tachycardia,heart
lesions,skin
painful,abdomen
tender,abdomen
tenderness,abdomen
organomegaly,unspecified
bleeding anal fissures ulcers,unspecified
fistulae,unspecified
scarring,unspecified
leukocytosis,blood
abnormalities,unspecified
peristalsis,gastrointestinal
ascites hypervascularization,abdomen
wall thickening,abdomen
pyloric edema,stomach
ulcerating figures,unspecified
inflammation,unspecified
component,unspecified
clinical,unspecified
relapse,unspecified
gi involvement,gastrointestinal
gastrointestinal and cutaneous symptoms,gastrointestinal
abnormalities,unspecified
asymptomatic,unspecified
recurrence,unspecified
murmur,heart
hematomas,shoulders
poor dentition,mouth
low hemoglobin,spleen
hypertension,heart
lightheadedness dizziness shortness of breath hemoptysis,lungs
hematemesis,stomach
unsure melena,unspecified
gi bleeding,intestine
lower left quadrant abdominal pain,abdomen
bilateral leg pain,legs
right paracolic gutter fat,unspecified
enlarged,unspecified
hematoma,muscle
intramuscular hemorrhage,muscle
myositis,muscle
abnormal results,stomach
bleeding,unspecified
left limb weakness,unspecified
reduced,unspecified
Left limb weakness,unspecified
lesions,brain
metastases,brain
seizure,unspecified
confusion lightheadedness,unspecified
nausea,unspecified
epilepsy,brain
nystagmus,brain
memory deficit,brain
leg oedema,legs
oedema,face
difficulty in breathing,heart
hypertension,heart
bruit,abdomen
high flow,heart
arterial venous fistula,kidney
aneurysmal,vessels
ectatic,vessels
narrowing,vessels
tortuosity,vessels
fistula,kidney
breathlessness,heart
occlusion,vein
symptom,strabismus
organ,eyes
symptom,diplopia
organ,eyes
symptom,numbness
organ,legs
symptom,numbness
organ,left arm
symptom,weakness
organ,legs
symptom,weakness
organ,left arm
symptom,lesions
organ,brain
symptom,lesions
organ,spinal cord
vertigo,unspecified
headaches,unspecified
confusion,unspecified
ataxia,unspecified
poor memory,brain
visual symptoms,unspecified
diplopia,unspecified
gaze right eye pain,eye
sinus congestion,sinus
afebrile,unspecified
optic nerve compression,optic nerve
infection,unspecified
abdominal pain,abdomen
hypertension,heart
macular degeneration,eye
leg weakness,arm
illness,unspecified
malaise fever vomiting,unspecified
diarrhea,unspecified
flaccidity,upper
flaccidity,lower
flaccidity,extremities
anemia,blood
hypodensity,thalamus
restricted,thalamus
edema,thalamus
venous infarction,thalamus
symptom,abnormalities
value,unspecified
symptom,mental retardation
value,unspecified
symptom,convulsions
value,unspecified
symptom,vision problems
value,eyes
symptom,hearing problems
value,ears
symptom,neurological abnormalities
value,unspecified
symptom,aversions
value,unspecified
symptom,atherosclerosis
value,heart
symptom,cerebral atrophic changes
value,brain
symptom,cerebellar atrophic changes
value,cerebellum
symptom,intensity
value,substantia nigra
symptom,deposition
value,unspecified
Hypermobile,unspecified
Several joint dislocations,Digits
Heart problems,Heart
Aneurysm,Pulmonary artery
Regurgitation,Mitral
Left atrial enlargement,Lung
Failure,Heart
Gallbladder stones,Gallbladder
Respiratory distress shortness of breath,Lung
Fever,unspecified
Pulmonary artery hypertension,Pulmonary artery
Dyspnea,Lung
Exercise intolerance,unspecified
ETIOLOGY,unspecified
Pulmonary artery aneurysm,Pulmonary artery
Dissection,unspecified
Variant,unspecified
Pathogenic variant c,unspecified
Heterozygous state,unspecified
Truncation,unspecified
Dysfunction,unspecified
Atrioventricular block,Heart
Right ventricular dilation,Heart
Diminished function,unspecified
Dilation,Aortic root
Sensorineural hearing loss,Ear
Myopia,Eye
Sloped shoulders,unspecified
Tab2 variant,unspecified
Biventricular enlargement,Heart
Right bundle block,Heart
Enlarged atria,Heart
Mitral valve regurgitation,Mitral valve
Chest pain,Heart
Neck swelling,Neck
Lymphadenopathies,unspecified
Volume overload,unspecified
diplopia,unspecified
binocular vision,brain
esotropia,eye
nystagmus,brain
ptosis,eye
adduction deficit,eye
vision loss,unspecified
visual acuity deficit,eye
abduction deficit,eye
elevation deficit,eye
back pain,unspecified
pain,back
pain radiating to the right chest region,unspecified
symptom onset,unspecified
weakness,unspecified
speech disturbance,brain
hemorrhage,unspecified
complication,unspecified
pph,unspecified
uncontrolled bleeding,unspecified
lost blood,circulatory system
tachycardia,cardiovascular system
hypotension,cardiovascular system
cerebral ischemia,brain
dilated pupils,eyes
arterial,blood vessels
periphery edema,skin
rales,lungs
pulmonary edema,lungs
right lung interlobular septal thickening,lungs
seizures,brain
hypothermia,body
normothermia,body
cerebellar herniation,brain
perinatal problems,unspecified
hearing loss,cochlea
hearing loss,cochlea
hearing loss,unspecified
vital signs,unspecified
bulbous dilatation,internal auditory canal
cochlear hypoplasia,cochlea
fistulous connection,unspecified
discomfort,unspecified
lesion,liver
lesion,abdomen
lesion,lymph node
hepatic alveolar echinococcosis,liver
cysts,liver
regional lymph node metastasis,lymph node
right eye pain redness,eye
lid swelling,eye
double vision,eye
right lid eye swelling redness chemosis,eye
visual impairment,eye
head injury,head
scalp laceration,scalp
swollen,eye
thrill,eye
bruit,eye
episcleral congestion,eye
corkscrew vessels,eye
proptosed,eye
afferent pupillary defect rapd,eye
ocular symptoms,eye
adenomegaly,neck
leukocytosis,unspecified
adverse reaction,unspecified
response,blood
demise,unspecified
leukocytosis,blood
leukocytosis,blood
dyspnoea,lung
cough,unspecified
dyspnoea,lung
gas,caecum
dyspnoea,lung
abdominal pain,unspecified
fever,unspecified
fever,unspecified
upper abdominal pain,abdomen
hepatobiliary enzyme elevation,liver
malignancy,unspecified
anastomotic stenosis,unspecified
balloon dilation,unspecified
stenosis,unspecified
stenting,bile duct
absence of blood,unspecified
dilated,unspecified
adverse events,unspecified
recurred,unspecified
hepatobiliary,liver
elevation,liver
slowness of thought,unspecified
sleepiness,unspecified
generalized weakness,muscle
constipation,colon
urinary retention,bladder
dysphagia,esophagus
sialorrhoea,salivary
motor impairment,unspecified
bradyphrenia,brain
bradykinesia,muscle
micrographia,brain
rigidity,muscle
rest tremor,muscle
enteric symptoms,colon
mass,mandible
heart murmur,heart
soft,abdomen
enlarged,submandibular lymph nodes
enlarged,mandibular lymph nodes
enlarged,prescapular lymph nodes
enlarged,right superficial cervical lymph nodes
anesthetized,unspecified
expanding,mandible
enlargement,mandibular lymph nodes
heterogeneity,mandibular lymph nodes
thrombocytopenia,blood
elevation,liver enzymes
myelosuppression,bone marrow
compromise hematopoiesis,bone marrow
tumor necrosis,tissue
tissue sloughing,tissue
bleeding,tissue
seizure,brain
metastasis,lungs
edema,surgical sites
swelling,surgical sites
inflammation,surgical sites
infection,surgical sites
abdominal pain,unspecified
fever,unspecified
ascites,liver
collections,liver
collections,pancreas
collections,lesser sac
collections,mesentery
collections,perigastric region
extension,IVC
internal septations,caudate lobe collection
diarrhea,colon
bloody diarrhea,colon
abdominal cramps,colon
tenesmus,colon
failure to thrive,unspecified
normoactive bowel sounds,abdomen
mucosal infiltrate,colon
crypt distortion,colon
crypt abscesses,colon
abdominal pain,colon
focal narrowing,pouch
mucosal enhancement,pouch
enhancement,pouch
thickening,pouch
narrowing,ibeam
pouchitis,pouch
inflammation,pouch
pi,pouch
intestinal lesions,ileum
symptoms,unspecified
symptom,motor weakness
organ,unspecified
symptom,seizures
organ,unspecified
symptom,morbidity
organ,unspecified
symptom,trunk
organ,unspecified
symptom,motor planning
organ,brain
symptom,distracted
organ,unspecified
symptom,tired
organ,unspecified
symptom,unable to tandem walk
organ,unspecified
decreased vision,eye
vision,eye
dizziness,unspecified
lightheadedness palpitations,unspecified
tarry stools,stomach
anemic,unspecified
nonbleeding gastric varices,stomach
pancreatic mass,pancreas
pnet,pancreas
fever cough,unspecified
decline in appetite,unspecified
air entry,right hemithorax
crackles,right hemithorax
thickening,right lung
thickening,right lung
mediastinal enlargement,anterior mediastinum
enlargement,anterior mediastinum
hypovascularized,anterior mediastinum
left paramedian development,anterior mediastinum
pericardial,pericardium
compression,heart chamber
mediastinal mass,anterior mediastinum
lymphocytosis,blood
malignancy,unspecified
hyperplasia,thymus
stability,unspecified
mass,anterior mediastinum
change,unspecified
tumor,anterior mediastinum
compression,right main bronchus
atelectasis,right main bronchus
extramedullary myelopoiesis,thymus
asymptomatic,unspecified
growth,unspecified
recurrence,unspecified
pain,chest
fasciculations,unspecified
cramps,unspecified
burning sensations,unspecified
hyperalgesia,unspecified
swallowing,esophagus
skin discoloration,skin
muscle weakness,muscles
flexion contractures,elbows
dyspnea,lungs
laryngospasm,larynx
chest muscle stiffness,chest
purplish skin discoloration,skin
total body stiffness,body
palmar flexion contractures,hands
flexion,unspecified
hyperexcitability,nerve
chest pain,left-sided
reticular shadow,lung
cough,unspecified
phlegm,unspecified
pleural effusion,pleura
pleural nodules,pleura
mass,lung
deterioration,lesion
lesion,lung
nodules,pleura
pleural nodule,pleura
nodule,pleura
nuclear atypia,tumor cells
tumor cells,lung
tumor,lung
e,unspecified
granulomas,lung parenchyma
fibrotic changes,alveolar septa
lesions,left thoracic cavity
metastasis,unspecified
lesion,chin
osteoarthritis,unspecified
allergies,unspecified
spinal stenosis,unspecified
papule,chin
tumor,chin
pain,scrotum
swelling,scrotum
edema,lower limbs
edema,lower limbs
dysesthesia,nervous system
paraparesis,nervous system
urinary incontinence,bladder
paresthesia,nervous system
enlarged,left scrotal sac
indurated,left scrotal sac
mass,left scrotum
displacement,penis
hypoesthesia,nervous system
areflexia,nervous system
decreased muscle strength,nervous system
lesion,testicle
left hydrocele,scrotum
microcalcifications,testis
supraclavicular adenopathies,lymph nodes
pulmonary nodules,lungs
distribution,lungs
lesions,liver
lesion,spinal cord
retroperitoneal ganglionar,spinal cord
invaded,spinal cord
displacement,L1 vertebral body
shortness of breath,lung
tachycardia,heart
cough,lung
fever,unspecified
asthma,lung
migraines,unspecified
tachypnea,lung
systolic dysfunction,heart
diastolic dysfunction,heart
hypokinesis,heart
cardiomyopathy,heart
mediastinal lymphadenopathy,lymph nodes
joint effusion,unspecified
osteoarticular lesions,unspecified
tear,meniscus
flexion,unspecified
inability to,unspecified
contract,quadriceps
contracture,hamstrings
extension deficit,unspecified
arthrogenic muscle inhibition,unspecified
contraction,quadriceps
relax,hamstrings
fatigue,unspecified
Erythema,unspecified
Skin blisters,unspecified
Bullae filled,unspecified
Fluid,unspecified
Miliaria rubra,Axillae
Miliaria rubra,Back
headache,unspecified
back pain,back
fever,unspecified
muscle weakness,muscles
lesions,spinal
haematuria,unspecified
proteinuria,unspecified
fatigue,generalized lymphadenopathy
weight loss,generalized lymphadenopathy
enlargement,mediastinal lymph nodes
mediastinal lymph nodes centrilobular nodules thickening,lungs
opacities,lungs
glomorular mesangium,kidneys
rejection,kidneys
tumors,unspecified
paraganglioma,carotid
intracranial extension,skull
asymptomatic,unspecified
intrasellar cyst,unspecified
cerebral spinal fluid leakage,unspecified
rhinorrhea,nasal cavity
nasal obstruction,nasal cavity
headache fever,unspecified
vomiting,unspecified
protrusion,meninges
meninges,unspecified
both lower extremity weakness,unspecified
weakness,legs
sensation,spinal cord
cutaneous lesions,trunk
anemia,unspecified
oral ulcers,unspecified
febrile neutropenia,unspecified
abdominal pain,abdomen
night sweats,unspecified
pain,abdomen
hearing loss,unspecified
cognitive disturbance,unspecified
memory loss,unspecified
ataxia of gait,cerebellum
dysdiadochokinesis,cerebellum
cerebellar signs,cerebellum
lesions,corpus callosum
lesions,periventricular white matter
lesions,cerebellar hemispheres
lesions,leptomeninges
emphysema,lung
malignant features,lungs
remission,unspecified
fev1,lung
right upper lobe pulmonary nodule,lung
lung nodule,lung
tumour,lung
tumour respiratory motion,lung
dyspnea hypoxia tachypnea,lungs
inflammatory opacities,lungs
etiology,unspecified
pulmonary embolism,lung
fibrotic changes,lung
mental,unspecified
stupor,unspecified
aphasia,brain
white matter t2 hyperintensities,brain
double vision,eye
respiratory symptoms,unspecified
fatigue,unspecified
aching limbs,limbs
dry eyes,eyes
anosmia ageusia,nose
anemia,blood
ptosis,eye
right eyed elevation deficit,eye
tired eyes,eyes
tumor,temple
recurrence,unspecified
tumor,unspecified
tumor,temple
lung metastases,unspecified
tumor,unspecified
lung metastasis,unspecified
Failure to thrive,unspecified
Motor development,unspecified
Unable to sit,unspecified
Hypotonia,muscles
Hypotonia,muscles
Rachitic bracelet,bone
Rachitic rosary,bone
Rib ends expansion,bone
Cupping,bone
Fraying,bone
Bone mineralization,bone
Periosteal reaction,bone
Fractures,bone
Hypophosphatemia,blood
Normocalcemia,blood
Hypercalciuria,blood
Decreased tubular phosphate reabsorption,kidney
Primary dentition erupted,mouth
conscious,unspecified
subfebrile fever,unspecified
nasal,unspecified
pathology,unspecified
right gaze deviation left facial and hemibody weakness,brain
speech changes,unspecified
flow,ICA
hyperintensity,basal ganglia
infarction,basal ganglia
mismatch,cerebral
cerebral ischemia,cerebral
infarction,basal ganglia
pain,chest
pain,back
pain,legs
hypophosphataemia,unspecified
tumour,L5 vertebra
sclerotic margin,L5 vertebra
decreased,unspecified
fever,unspecified
consolidation,lung
general bacteria,lung
symptom1,personality change
value,unspecified
symptom1,memory decline
value,unspecified
symptom1,gait imbalance
value,unspecified
symptom1,hazy
value,brain
symptom1,lesions
value,brain
shortness of breath,unspecified
fever,unspecified
cough,lungs
wheezing,lungs
facial droop,face
drooling,face
pinpoint pupils,eyes
hearing loss,ears
nocturia,bladder
lower back pain,back
right hip pain,hip
lesion,bone
pathologic fracture,bone
right external iliac chain involvement,pelvis
enlarged,prostate
right hip joint involvement,hip
exacerbation,lungs
respiratory symptoms,lungs
dysphagia,throat
facial numbness,face
back pain,back
dysarthria,brain
symptoms,unspecified
marrow abnormality,bone
difficult in redirection,unspecified
agitation,unspecified
manic features,unspecified
pressured speech,unspecified
seizures,unspecified
mania,unspecified
lupus,unspecified
cardiorespiratory symptoms,heart
exacerbations,unspecified
aphasia,brain
right renal mass,renal
tumor,renal
breast lesions,breast
tumor,unspecified
scissors,unspecified
warm ischemia,unspecified
redness,eye
pain,eye
keratic precipitates,cornea
corneal thinning,cornea
defect,cornea
symptoms,unspecified
immunosuppression,unspecified
recurred,cornea
asymptomatic,eye
confusion,brain
vomiting,unspecified
left-sided weakness,brain
left facial palsy,brain
slurred speech,brain
left facial weakness,brain
gaze deviation,brain
left homonymous hemianopsia,brain
hemineglect,brain
loss of smell,unspecified
hyposmia,unspecified
olfactory dysfunction,unspecified
scarring,brain
fever,unspecified
vomiting,unspecified
hypernatremia,unspecified
brain hemorrhage,brain
seizures,unspecified
subarachnoid hemorrhage,unspecified
hypoxia,unspecified
left anterior hemiblock,heart
systolic function dyskinesia,heart
regional wall motion abnormalities,heart
disturbed consciousness,unspecified
both pupils,eyes
shock,unspecified
metabolic,unspecified
kette bodies,unspecified
restlessness tracheal,unspecified
lactic acidosis,unspecified
occipital headaches,unspecified
roaring sound,ear
headache,unspecified
diplopia,eye
ocular motion,eye
sixth nerve palsy,eye
pupil dilation,eye
papilledema,eye
sensation,face
left lower extremity ataxia,unspecified
vertigo,unspecified
severe vertigo,unspecified
hyperintensities,brain
atrophy,cerebellum
symptom,poor
organ,unspecified
symptom,right foot cramping numbness pain
organ,foot
symptom,walking difficulties
organ,unspecified
symptom,cord lesions
organ,spine
discharge,umbilicus
inflammatory reaction,abdominal fat
malignant transformation,urachal remnant
dyspnea,unspecified
cough,unspecified
shortness of breath,lung
dry cough,unspecified
wheezing,lung
ataxia confusion,unspecified
seizures,unspecified
tremor,hand
slowness of movements,unspecified
diminished arm swing,arm
diminished facial expression,face
eye blinking,eye
softened speech,mouth
micrographic handwriting,hand
difficulty swimming,body
cough hemoptysis shortness of breath,unspecified
bilateral hip pain,hips
right hilar mass,lung
right lower lobe mass,lung
pelvic bone metastases,pelvis
right lung mass,lung
metastases,brain
periocular swelling,eyes
pruritus,skin
pruritus erythema,skin
vomited blood,stomach
lacerations,facial region
bleeding,facial region
enlarged hypertrophied,blood vessels
scratched,head
whining,unspecified
moaning,unspecified
swollen heads,head
diarrhea,intestine
sick,unspecified
dead,unspecified
encephalitis,brain
gliosis,brain
inflammation,liver
necrosis,unspecified
Headache,unspecified
Headache,unspecified
System CNS Involvement,CNS
Fatigue,unspecified
scalp nodules,scalp
right hip pain,hip
fatigue,unspecified
hip pain,hip
dizziness,unspecified
numbness,brain
dysphagia,pharynx
nystagmus,unspecified
lesion,medulla oblongata
Headaches,unspecified
Diplopia,unspecified
Loss of peripheral vision,unspecified
Sellar mass,pituitary
breathlessness,LV
abnormal,unspecified
asthma,unspecified
hypertension,unspecified
murmur,LV
cardiomegaly,heart
strain abnormalities,ECG
hypertrophy,LV
hypertrophy,unspecified
hypokinetic wall motion,LV
LGE,LV
vacuolation,biopsy
tumour,unspecified
malignancy,unspecified
breast lump,breast
nodule,breast
nodule,liver
mass,lung
distortion,breast
bony metastases,bone
diarrhea,abdomen
fevers,unspecified
sweats,unspecified
syncope,unspecified
nausea,unspecified
tachycardia,heart
hepatosplenomegaly,unspecified
cough difficult in breathing,unspecified
fever,unspecified
cough,unspecified
difficulty in breathing,unspecified
fever,unspecified
rigors,unspecified
fits,brain
regression,unspecified
convulsions,unspecified
afebrile fits,brain
seizures,brain
trigone,brain
enlarged prominent ventricles,brain
chills,unspecified
diarrhea,unspecified
head,unspecified
neck pain,neck
photophobia,eyes
abdominal pain,abdomen
diarrhea,unspecified
left lower quadrant pain,abdomen
nausea,unspecified
vomiting,unspecified
tenderness,abdomen
induration,unspecified
filling defects,vein
abdominal symptoms,abdomen
bleeding,unspecified
diverticula,colon
abnormalities,colon
echogenicity,liver
abdominal distention,abdomen
pain,abdomen
hyperlipidaemia,unspecified
disease,unspecified
vomited,abdomen
haemodynamic instability,heart
dysfunction,liver
drainage,abdomen
high fever,body
decline,white blood cells
splenomegaly,unspecified
hyperbilirubinemia,liver
hemolysis,unspecified
opv,liver
eye redness left eye,eye
lesion,unspecified
mass,right superior eyelid
bulbar conjunctival lesion,conjugunctiva
pain,unspecified
visual changes,unspecified
subconjunctival haemorrhage,unspecified
conjunctival mass,conjugunctiva
supraglottis involvement,supraglottis
regression,unspecified
tumour,unspecified
burn,unspecified
alopecia,scalp
tissue expansion,unspecified
advancement,unspecified
dead,unspecified
bodily injuries,unspecified
death,unspecified
congestion,internal organs
liquid blood,heart and great vessels
fever,unspecified
chills,unspecified
rigor,unspecified
abdominal discomfort,abdomen
body ache,unspecified
splenic abscess,spleen
pain,elbow
malfunction,catheter
stricture,SVC
anomalous,vein
stenosis,SVC
stenosis,SVC
occlusion,SVC
collateral veins,unspecified
fistula,coronary artery and SVC
enhancement,coronary sinus
anomalous venous,right heart
collateralization,coronary sinu
dilated,small cardiac vein
dilation,small cardiac vein
collateral veins,unspecified
fetal distress,unspecified
symptoms,unspecified
sepsis,unspecified
respiratory problems,lungs
hyperbilirubinemia,liver
thrombocytopenia,blood
leukopenia,blood
anemia,blood
ascites,abdomen
subcutaneous edema,skin
lesions,brain
dysuria hematuria,kidneys
pain,kidneys
grinding his teeth,teeth
hematuria,kidneys
specific gravity,kidneys
masses,kidneys
hydronephrosis,kidneys
hydroureter,kidneys
anemic,blood
thrombus,vein
left renal calculus,kidneys
filling defect,kidneys
nephrocalcinosis,kidneys
cognitive,brain
loss of appetite,unspecified
warm,unspecified
fever,unspecified
abdominal pain,abdomen
vomiting,stomach
abscess,abdomen
anastomotic leakage,abdomen
cough,lung
general malaise,unspecified
tumor,lung
enlarged lymph nodes,chest
arm cramps,unspecified
of,unspecified
macrocytic anemia,blood
anemia,blood
hemolysis,blood
hemolytic anemia,blood
bleeding,blood
neonatal jaundice,liver
nose bleeding,nose
subcutaneous hemorrhage,skin
malignant cells,bone marrow
Fever,unspecified
Arthralgias,unspecified
Myalgias,unspecified
Abdominal pain,abdomen
Rash,skin
Papules,skin
Macules,skin
Purpuric macules,skin
Neutrophilic infiltrate,skin
Chest pain,heart
St elevation,heart
Thrombi,blood
Vasculitis,blood
Involvement of small caliber vessels or capillaries,unspecified
Splinter hemorrhages,fingernails
Headache,brain
Visual changes,brain
Infarcts,brain
Microhemorrhage,brain
Enhancement,brain
swelling,neck
fever,unspecified
pain,swelling
lesion,neck
nontender,swelling
smooth margins,lesion
eccentric solid areas,lesion
hemorrhagic,cystic component
exhausted,unspecified
lost her appetite,unspecified
orthopnoea,unspecified
dyspnea,unspecified
hypertension,heart
proteinuria,kidney
weak,unspecified
glomerulopathy,kidney
glomerulonephritis gn,kidney
sclerosed,kidney
thin fibrils,kidney
deposit,kidney
mass,kidney
lesion,kidney
tumor,kidney
haemoptysis,unspecified
lesion,lung
mass,lung
hilar lymphadenopathy,unspecified
response,unspecified
haemoptysis,lung
growth,lung
endobronchial obstruction,lung
inflammatory cell infiltrate,lung
eosinophils,unspecified
fibrosis,lung
pseudotumour,lung
symptoms,lung
dizziness gait disturbance,unspecified
headache,unspecified
fever,blood
nuchal rigidity,neck
ulceration or exudation,skin
tick bite,skin
lesions,trunk
inflammatory response,blood
clear,cerebrospinal fluid
faint,cerebrospinal fluid
fracture,acetabular
pain,right hip
pain,right hip
destruction,femoral head
joint space narrowing,right hip
subchondral bone loss,femoral head
sclerosis,femoral head
depressed fracture,femoral head
depression,femoral head
bone marrow edema,proximal femur
synovitis,right hip
effusion,right hip
hypertrophy,right hip
osteoarthritis,hip
incident,unspecified
autobiographical amnesia,brain
afebrile,unspecified
calm,unspecified
amnestic status epilepticus,brain
symptoms,unspecified
drowsiness,unspecified
contracted,liver
sah,brain
hematoma,brain
aneurysm,brain
bifurcation,brain
temporal hematomas,brain
brain swelling,brain
bleeding,brain
infarction,brain
fever,unspecified
cns damage,brain
septic shock,unspecified
unresponsive,brain
diplopia,eye
headache,unspecified
myalgia,unspecified
vomiting,gastrointestinal
nausea,gastrointestinal
fever,unspecified
nerve palsy,nerve
chest pain,unspecified
chest tightness,chest
tightness,chest
dry cough,lungs
hemoptysis,lungs
pain,chest
hemodynamic instability,heart
hypovolemic shock,heart
tenderness,chest
pleural effusion,chest
collapsed right lung,lung
tracheal deviation,chest
bleeding,chest
weakness,unspecified
paraparesis,spine
left predominance,unspecified
difficulty,unspecified
hypoesthesia,spine
tachycardia,heart
l,unspecified
q waves,heart
t wave inversion,heart
gastric pain,stomach
pale,skin
tachypnoic,lungs
radial pulse,heart
chest pain,heart
shortness of breath,lungs
apical thrombus,heart
myocardial ischemia,heart
seizure,brain
left breast lump,breast
seizures,unspecified
eclampsia,unspecified
seizures,brain
nystagmus,brain
nodule,thyroid
lesion,thyroid
extrathyroidal extension,skeletal muscle
tumor of thyroid follicular differentiation,thyroid
left upper abdominal pain,abdomen
abdominal pain,abdomen
crampy,abdomen
pain,abdomen
diaphoresis nausea,unspecified
vomiting,unspecified
left ventricular thrombus,heart
right leg numbness,legs
crackles,lungs
tenderness,abdomen
awkwardness,unspecified
walking tremor,right hand
writing difficulties,hand
deficit in learning,brain
concentration,brain
splenomegaly,spleen
acrocyanosis,upper and lower limbs
shorter,lower limb
hypertrophic,lower limb
anemia leukopenia thrombocytopenia,blood
signal areas,basal and putamen ganglia
hyperintensities,basal and putamen ganglia
copper deposit,basal and putamen ganglia
microcavitary,lenticular nuclei
lenticular nuclei,lenticular nuclei
atp7b gene mutations,unspecified
